event_id,source_feature_number,feat_type,coverage_code,threshold_km2,verification_fraction,category,artifact_method,current_15000_fraction,fraction_difference_from_15000,current_15000_category,category_changed_from_15000
20260728_19Z_F04,5,AREA,3,15000,0.0,Overforecasted,legacy independent-max frozen truth,0.0,0.0,Overforecasted,False
20260728_19Z_F04,6,AREA,3,15000,0.0,Overforecasted,legacy independent-max frozen truth,0.0,0.0,Overforecasted,False
20260728_19Z_F04,7,AREA,3,15000,0.0,Overforecasted,legacy independent-max frozen truth,0.0,0.0,Overforecasted,False
20260728_19Z_F04,8,AREA,2,15000,0.0,Overforecasted,legacy independent-max frozen truth,0.0,0.0,Overforecasted,False
20260728_19Z_F04,9,AREA,3,15000,0.0,Overforecasted,legacy independent-max frozen truth,0.0,0.0,Overforecasted,False
20260728_19Z_F04,10,AREA,3,15000,0.3183168524521935,Verified Close,legacy independent-max frozen truth,0.3183168524521935,0.0,Verified Close,False
20260728_19Z_F04,11,AREA,2,15000,0.5274023349958138,Verified Well,legacy independent-max frozen truth,0.5274023349958138,0.0,Verified Well,False
20260728_19Z_F04,12,AREA,3,15000,0.3649333422057369,Verified Close,legacy independent-max frozen truth,0.3649333422057369,0.0,Verified Close,False
20260728_19Z_F04,13,AREA,2,15000,0.0,Overforecasted,legacy independent-max frozen truth,0.0,0.0,Overforecasted,False
20260324_13Z_F04,1,AREA,3,20000,0.0,Overforecasted,legacy independent-max frozen truth,0.0,0.0,Overforecasted,False
20260403_21Z_F04,1,AREA,3,20000,0.0,Overforecasted,legacy independent-max frozen truth,0.0,0.0,Overforecasted,False
20260403_21Z_F04,2,AREA,2,20000,0.0,Overforecasted,legacy independent-max frozen truth,0.0,0.0,Overforecasted,False
20260403_21Z_F04,3,AREA,3,20000,0.40834089193700784,Verified Close,legacy independent-max frozen truth,0.40834089193700784,0.0,Verified Close,False
20260403_21Z_F04,4,AREA,3,20000,0.7206270320271837,Verified Well,legacy independent-max frozen truth,0.7206270320271837,0.0,Verified Well,False
20260403_21Z_F04,5,AREA,3,20000,0.16880012728308177,Overforecasted,legacy independent-max frozen truth,0.25917103850122736,-0.09037091121814558,Verified Close,True
20260403_21Z_F04,6,AREA,3,20000,0.0,Overforecasted,legacy independent-max frozen truth,0.0,0.0,Overforecasted,False
