event_id,component_id,truth_class,area_km2,preclip_area_km2,domain_status,retained_at_15000,capture_fraction,current_miss,sparse_area_capture,medium_area_capture,solid_line_capture,sparse_area_unique_capture,medium_area_unique_capture,solid_line_unique_capture,retained_medium_core_fraction,nearest_forecast_class,nearest_forecast_distance_km,artccs,min_lon,min_lat,max_lon,max_lat,artifact_method,report_label
20260524_19Z_F04,16,Sparse,34219.77403440063,34219.77403440063,inside,True,0.4537460977529744,False,0.4537460977529744,0.0,0.0,0.4537460977529744,0.0,0.0,0.0,Sparse AREA,0.0,ZID/ZTL,-83.12000133950451,35.920000000003796,-80.82000140522953,39.27000000000312,legacy independent-max frozen truth,
20260524_19Z_F04,17,Sparse,20395.973669855277,20395.973669855266,inside,True,0.4574124821797558,False,0.4574124821797558,0.0,0.0,0.4574124821797558,0.0,0.0,0.0,Sparse AREA,0.0,ZJX/ZMA,-83.12000133950451,27.7200000000039,-81.92000137379583,30.520000000004337,legacy independent-max frozen truth,
20260524_19Z_F04,18,Sparse,4979.979809033116,4979.979809033116,inside,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sparse AREA,33.306088545468086,ZTL,-82.67000135236376,33.370000000004296,-81.77000137808224,34.320000000004114,legacy independent-max frozen truth,
20260524_19Z_F04,19,Sparse,3784.854126736451,3784.85412673645,inside,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sparse AREA,83.04785380012963,ZDC,-77.32000150524587,33.270000000004316,-76.52000152810675,33.8700000000042,legacy independent-max frozen truth,
20260524_19Z_F04,20,Sparse,1858.0275463171138,1858.0275463171138,inside,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sparse AREA,37.80124246342966,ZDC,-77.47000150095946,35.47000000000388,-76.9700015152475,35.920000000003796,legacy independent-max frozen truth,
20260524_19Z_F04,21,Sparse,25.090382668904155,25.090382668904155,inside,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sparse AREA,102.52043398735684,ZDC,-76.72000152239153,35.720000000003836,-76.67000152382033,35.77000000000382,legacy independent-max frozen truth,
20260524_19Z_F04,22,Sparse,696.2196288900634,696.2196288900635,inside,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sparse AREA,99.02573440143635,ZDC,-79.82000143380563,38.97000000000318,-79.37000144666487,39.27000000000312,legacy independent-max frozen truth,
20260524_19Z_F04,23,Sparse,1011.2517893865844,1011.2517893865844,inside,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sparse AREA,209.85636522832039,ZOB,-80.72000140808714,40.370000000002904,-80.32000141951758,40.770000000002824,legacy independent-max frozen truth,
20260524_19Z_F06,2,Sparse,25147.16922582919,25147.16922582918,inside,True,0.5032901682205622,False,0.5032901682205622,0.0,0.0,0.5032901682205622,0.0,0.0,0.0,Sparse AREA,0.0,ZFW,-98.97000088657339,31.570000000004505,-96.87000094658319,33.270000000004316,legacy independent-max frozen truth,
20260524_19Z_F06,4,Sparse,22592.00533722741,22592.005337227423,inside,True,0.2710367838667767,False,0.2710367838667767,0.0,0.0,0.2710367838667767,0.0,0.0,0.0,Sparse AREA,0.0,ZMP,-97.8200009194359,42.4200000000025,-95.32000099087614,44.47000000000209,legacy independent-max frozen truth,
20260524_19Z_F06,5,Sparse,18043.62582095215,18043.62582095215,inside,True,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sparse AREA,19.668406752128856,ZMP,-94.87000100373538,43.67000000000225,-92.87000106088757,45.020000000001986,legacy independent-max frozen truth,ZMP - Missed (Area M2)
